An error occurred: illegal san: 'Kb4' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Kb4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Kd6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Kd6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rb1' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rb1========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rf3' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rf3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rb3' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rb3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rxg3' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rxg3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'c5+' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with c5+========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Kc7' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Kc7========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Kc4' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Kc4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rxh3' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rxh3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rb6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rb6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'g5' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with g5========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Re6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Re6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rxe5' in rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1, unable to load chessboard with Rxe5========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'g3' in rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1, unable to load chessboard with g3========== End of Environ.load_chessboard ==========


